--- scanner 0 ---
645,-448,-766
529,751,-867
596,-483,472
584,-612,-728
474,-460,434
519,-382,388
-348,803,-533
-537,553,429
-294,-812,-542
479,-471,-692
-371,642,-453
-318,612,-477
-395,-304,520
-584,541,384
144,72,-32
-395,-670,-544
558,671,-929
512,677,703
-428,-427,552
405,711,772
423,630,722
-390,-536,556
642,620,-881
-674,550,365
-389,-736,-572

--- scanner 0 ---
645,-448,-766
529,751,-867
596,-483,472
584,-612,-728
474,-460,434
519,-382,388
-348,803,-533
-537,553,429
-294,-812,-542
479,-471,-692
-371,642,-453
-318,612,-477
-395,-304,520
